순번,학기,대학(원),학과(부),학년,이수구분,이수영역,학수번호,교과목명,교과목명(영문),담당교수,소속,강의실,시간표(교시),시간표(시간),교시유형,학점,시수,이론,실습,정원,수강,수강(남),수강(여),재수강,수업구분,수업유형,집중이수제,성적평가,원어강의,원어강의구분,원어강사료지급,캡스톤디자인,수강대상,수업방법,비고
1,2026년 1학기,인문대학,국어국문학과,전학년,전공심화,전공심화,0009062001,RISE,RISE,김정경,국어국문학과,제15호관 인문대학-119 강의실(중)-1[15-119], [15-119:월(야1-2A)(야2B-3)], [15-119:월(18:00~19:15)(19:25~20:40)],75분,3,3,3,0,3,3,0,3,0,일반과목,RISE(시간표 있음),일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
2,2026년 1학기,인문대학,국어국문학과,전학년,전공심화,전공심화,0009062002,RISE,RISE,전병준,국어국문학과,제15호관 인문대학-119 강의실(중)-1[15-119], [15-119:화(야1-2A)(야2B-3)], [15-119:화(18:00~19:15)(19:25~20:40)],75분,3,3,3,0,2,2,2,0,0,일반과목,RISE(시간표 있음),일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
3,2026년 1학기,인문대학,국어국문학과,전학년,전공심화,전공심화,0009062003,RISE,RISE,채숙희,국어국문학과,제15호관 인문대학-119 강의실(중)-1[15-119], [15-119:수(야1-2A)(야2B-3)], [15-119:수(18:00~19:15)(19:25~20:40)],75분,3,3,3,0,3,3,0,3,0,일반과목,RISE(시간표 있음),일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
4,2026년 1학기,인문대학,국어국문학과,1,전공기초,전공기초,0007800001,자기설계세미나 I,Self - Design Seminar I,전병준,국어국문학과,제15호관 인문대학-119 강의실(중)-1[15-119], [15-119:목(3)], [15-119:목(11:00~11:50)],50분(표준),1,1,1,0,10,12,5,7,0,일반과목,자기설계세미나,일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
5,2026년 1학기,인문대학,국어국문학과,1,전공기초,전공기초,0007800002,자기설계세미나 I,Self - Design Seminar I,김정경,국어국문학과,제15호관 인문대학-503 전용어학실습실-3[15-503], [15-503:목(3)], [15-503:목(11:00~11:50)],50분(표준),1,1,1,0,10,13,6,7,0,일반과목,자기설계세미나,일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
6,2026년 1학기,인문대학,국어국문학과,1,전공기초,전공기초,0007800003,자기설계세미나 I,Self - Design Seminar I,하신영,국어국문학과,제15호관 인문대학-405 세미나실-4[15-405], [15-405:목(3)], [15-405:목(11:00~11:50)],50분(표준),1,1,1,0,10,10,2,8,0,일반과목,자기설계세미나,일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
7,2026년 1학기,인문대학,국어국문학과,1,전공기초,전공기초,0008645001,고전과삶,Classics and Life,김정경,국어국문학과,제15호관 인문대학-119 강의실(중)-1[15-119]," [15-119:화(5B-6),수(5B-6)]"," [15-119:화(13:30~14:45),수(13:30~14:45)]",75분,3,3,3,0,20,24,9,15,1,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
8,2026년 1학기,인문대학,국어국문학과,1,전공기초,전공기초,0008645002,고전과삶,Classics and Life,김정경,국어국문학과,제15호관 인문대학-119 강의실(중)-1[15-119]," [15-119:화(8B-9),수(8B-9)]"," [15-119:화(16:30~17:45),수(16:30~17:45)]",75분,3,3,3,0,20,20,6,14,4,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
9,2026년 1학기,인문대학,국어국문학과,1,전공기초,전공기초,AI01001001,한국문학의이해,UNDERSTANDING OF KOREAN LITERATURE,정우경,국어국문학과,제15호관 인문대학-119 강의실(중)-1[15-119], [15-119:월(1-2A)(2B-3)], [15-119:월(09:00~10:15)(10:30~11:45)],75분,3,3,3,0,19,19,5,14,1,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
10,2026년 1학기,인문대학,국어국문학과,1,전공기초,전공기초,AI01001002,한국문학의이해,UNDERSTANDING OF KOREAN LITERATURE,정우경,국어국문학과,제15호관 인문대학-119 강의실(중)-1[15-119], [15-119:월(7-8A)(8B-9)], [15-119:월(15:00~16:15)(16:30~17:45)],75분,3,3,3,0,23,23,8,15,1,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
11,2026년 1학기,인문대학,국어국문학과,1,전공기초,전공기초,AIA6086001,언어와인간,LINGUISTICS AND HUMAN,안소진,국어국문학과,제15호관 인문대학-119 강의실(중)-1[15-119]," [15-119:수(7-8A),목(8B-9)]"," [15-119:수(15:00~16:15),목(16:30~17:45)]",75분,3,3,3,0,35,40,15,25,5,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
12,2026년 1학기,인문대학,국어국문학과,1,전공심화,전공심화,0000037001,2급한국어(2),Level 2 Korean(2),김인규,국어국문학과,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:수(1-2A)(2B-3)], [15-120:수(09:00~10:15)(10:30~11:45)],75분,3,3,3,0,9,9,0,9,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),절대평가,Y,원어강의(EN),지급,아니오,,,
13,2026년 1학기,인문대학,국어국문학과,1,전공심화,전공심화,0000039001,3급한국어(2),Level 3 Korean(2),박효정,국어국문학과,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:월(4-5A)(5B-6)], [15-120:월(12:00~13:15)(13:30~14:45)],75분,3,3,3,0,12,12,1,11,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
14,2026년 1학기,인문대학,국어국문학과,1,전공심화,전공심화,0000039002,3급한국어(2),Level 3 Korean(2),김정현,국어국문학과,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:수(7-8A)(8B-9)], [15-115:수(15:00~16:15)(16:30~17:45)],75분,3,3,3,0,11,11,1,10,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
15,2026년 1학기,인문대학,국어국문학과,1,전공심화,전공심화,0000062001,2급한국어연습(2),Level 2 Korean Practice(2),김인규,국어국문학과,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:수(7-8A)(8B-9)], [15-120:수(15:00~16:15)(16:30~17:45)],75분,3,3,3,0,9,9,0,9,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),절대평가,Y,원어강의(EN),지급,아니오,,,
16,2026년 1학기,인문대학,국어국문학과,1,전공심화,전공심화,0000064001,3급한국어연습(2),Level 3 Korean Practice(2),이희정,국어국문학과,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:화(1-2A)(2B-3)], [15-115:화(09:00~10:15)(10:30~11:45)],75분,3,3,3,0,12,12,1,11,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
17,2026년 1학기,인문대학,국어국문학과,1,전공심화,전공심화,0000064002,3급한국어연습(2),Level 3 Korean Practice(2),박효정,국어국문학과,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:월(7-8A)(8B-9)], [15-120:월(15:00~16:15)(16:30~17:45)],75분,3,3,3,0,11,11,1,10,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
18,2026년 1학기,인문대학,국어국문학과,1,전공심화,전공심화,0000552001,1급한국어(2),Level 1 Korean 2,채숙희,국어국문학과,제15호관 인문대학-115 어학원강의실-2[15-115]," [15-115:화(5B-6),목(5B-6)]"," [15-115:화(13:30~14:45),목(13:30~14:45)]",75분,3,3,3,0,7,7,0,7,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),절대평가,Y,원어강의(EN),지급,아니오,,,
19,2026년 1학기,인문대학,국어국문학과,1,전공심화,전공심화,0000552002,1급한국어(2),Level 1 Korean 2,하신영,국어국문학과,제15호관 인문대학-120 어학원강의실-1[15-120]," [15-120:화(5B-6),목(5B-6)]"," [15-120:화(13:30~14:45),목(13:30~14:45)]",75분,3,3,3,0,13,13,2,11,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),절대평가,Y,원어강의(EN),지급,아니오,,,
20,2026년 1학기,인문대학,국어국문학과,2,전공핵심,전공핵심,0004895001,한국의언어,The Korean Language,채숙희,국어국문학과,제15호관 인문대학-119 강의실(중)-1[15-119]," [15-119:화(7-8A),목(7-8A)]"," [15-119:화(15:00~16:15),목(15:00~16:15)]",75분,3,3,3,0,30,34,13,21,5,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
21,2026년 1학기,인문대학,국어국문학과,2,전공핵심,전공핵심,0004906001,현대문학사1,History of Korean Modern Literature 1,강용훈,국어국문학과,제15호관 인문대학-503 전용어학실습실-3[15-503]," [15-503:월(2B-3),수(2B-3)]"," [15-503:월(10:30~11:45),수(10:30~11:45)]",75분,3,3,3,0,16,15,5,10,2,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
22,2026년 1학기,인문대학,국어국문학과,2,전공핵심,전공핵심,0004906002,현대문학사1,History of Korean Modern Literature 1,강용훈,국어국문학과,제15호관 인문대학-503 전용어학실습실-3[15-503]," [15-503:월(5B-6),수(5B-6)]"," [15-503:월(13:30~14:45),수(13:30~14:45)]",75분,3,3,3,0,20,19,11,8,2,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
23,2026년 1학기,인문대학,국어국문학과,2,전공심화,전공심화,0000041001,4급한국어(2),Level 4 Korean(2),정미진,국어국문학과,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:화(7-8A)(8B-9)], [15-115:화(15:00~16:15)(16:30~17:45)],75분,3,3,3,0,8,8,1,7,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
24,2026년 1학기,인문대학,국어국문학과,2,전공심화,전공심화,0000041002,4급한국어(2),Level 4 Korean(2),유민애,국어국문학과,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:금(4-5A)(5B-6)], [15-120:금(12:00~13:15)(13:30~14:45)],75분,3,3,3,0,8,8,0,8,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
25,2026년 1학기,인문대학,국어국문학과,2,전공심화,전공심화,0000044001,5급한국어(2),Level 5 Korean(2),이희정,국어국문학과,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:목(1-2A)(2B-3)], [15-115:목(09:00~10:15)(10:30~11:45)],75분,3,3,3,0,12,12,2,10,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
26,2026년 1학기,인문대학,국어국문학과,2,전공심화,전공심화,0000066001,4급한국어연습(2),Level 4 Korean Practice(2),박솔잎,국어국문학과,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:수(4-5A)(5B-6)], [15-115:수(12:00~13:15)(13:30~14:45)],75분,3,3,3,0,8,8,1,7,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
27,2026년 1학기,인문대학,국어국문학과,2,전공심화,전공심화,0000066002,4급한국어연습(2),Level 4 Korean Practice(2),정하라,국어국문학과,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:월(7-8A)(8B-9)], [15-115:월(15:00~16:15)(16:30~17:45)],75분,3,3,3,0,8,8,0,8,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
28,2026년 1학기,인문대학,국어국문학과,2,전공심화,전공심화,0000068001,5급한국어연습(2),Level 5 Korean Practice(2),박효정,국어국문학과,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:수(4-5A)(5B-6)], [15-120:수(12:00~13:15)(13:30~14:45)],75분,3,3,3,0,12,12,2,10,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
29,2026년 1학기,인문대학,국어국문학과,2,전공심화,전공심화,0004896001,현대희곡론,Study of Korean Modern drama,이여진,국어국문학과,제15호관 인문대학-503 전용어학실습실-3[15-503], [15-503:금(1-2A)(2B-3)], [15-503:금(09:00~10:15)(10:30~11:45)],75분,3,3,3,0,5,7,3,4,0,일반과목,강의(이론),일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
30,2026년 1학기,인문대학,국어국문학과,2,전공심화,전공심화,0004907001,고전시가의이해,Understanding of Korean Classical Poetry ,배은희,국어국문학과,제15호관 인문대학-503 전용어학실습실-3[15-503], [15-503:화(2B-3)(4-5A)], [15-503:화(10:30~11:45)(12:00~13:15)],75분,3,3,3,0,15,16,4,12,1,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
31,2026년 1학기,인문대학,국어국문학과,2,전공심화,전공심화,0005761001,한국문학과세계문학,Korean and World Literatures,장영은,국어국문학과,제15호관 인문대학-119 강의실(중)-1[15-119], [15-119:금(7-8A)(8B-9)], [15-119:금(15:00~16:15)(16:30~17:45)],75분,3,3,3,0,10,15,4,11,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
32,2026년 1학기,인문대학,국어국문학과,2,전공심화,전공심화,0008646001,한국한문의이해,Understanding of Chinese Classics,이채은,국어국문학과,제15호관 인문대학-503 전용어학실습실-3[15-503], [15-503:금(4-5A)(5B-6)], [15-503:금(12:00~13:15)(13:30~14:45)],75분,3,3,3,0,10,16,5,11,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
33,2026년 1학기,인문대학,국어국문학과,2,전공심화,전공심화,0010702001,시창작연습,Practicing writing poems,정우신,국어국문학과,제15호관 인문대학-503 전용어학실습실-3[15-503], [15-503:월(7-8A)(8B-9)], [15-503:월(15:00~16:15)(16:30~17:45)],75분,3,3,3,0,15,14,9,5,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
34,2026년 1학기,인문대학,국어국문학과,2,전공심화,전공심화,0010769001,희곡시나리오창작연습,Scenario and Play Writing  ,이여진,국어국문학과,제15호관 인문대학-119 강의실(중)-1[15-119], [15-119:화(1-2A)(2B-3)], [15-119:화(09:00~10:15)(10:30~11:45)],75분,3,3,3,0,10,12,7,5,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
35,2026년 1학기,인문대학,국어국문학과,3,전공심화,전공심화,0004855001,한국어문법교육론,Pedagogy of Korean Grammar,유민애,국어국문학과,제15호관 인문대학-119 강의실(중)-1[15-119], [15-119:금(1-2A)(2B-3)], [15-119:금(09:00~10:15)(10:30~11:45)],75분,3,3,3,0,10,10,2,8,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
36,2026년 1학기,인문대학,국어국문학과,3,전공심화,전공심화,0004917001,한국어의어문규범,Norm of Korean Language,전진호,국어국문학과,제15호관 인문대학-503 전용어학실습실-3[15-503], [15-503:수(7-8A)(8B-9)], [15-503:수(15:00~16:15)(16:30~17:45)],75분,3,3,3,0,10,19,5,14,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
37,2026년 1학기,인문대학,국어국문학과,3,전공심화,전공심화,0006750001,한국어의어휘와문법,Vocabulary and Grammar of Korean,최주희,국어국문학과,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:목(1-2A)(2B-3)], [15-120:목(09:00~10:15)(10:30~11:45)],75분,3,3,3,0,7,7,0,7,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
38,2026년 1학기,인문대학,국어국문학과,3,전공심화,전공심화,0006750002,한국어의어휘와문법,Vocabulary and Grammar of Korean,박솔잎,국어국문학과,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:수(1-2A)(2B-3)], [15-115:수(09:00~10:15)(10:30~11:45)],75분,3,3,3,0,8,8,0,8,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
39,2026년 1학기,인문대학,국어국문학과,3,전공심화,전공심화,0006975001,한국어 이해의 기초(2),Basic of Korean Comprehension(2),최유정,국어국문학과,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:월(1-2A)(2B-3)], [15-120:월(09:00~10:15)(10:30~11:45)],75분,3,3,3,0,8,8,0,8,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),절대평가,Y,원어강의(EN),지급,아니오,,,
40,2026년 1학기,인문대학,국어국문학과,3,전공심화,전공심화,0006975002,한국어 이해의 기초(2),Basic of Korean Comprehension(2),김선영,국어국문학과,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:금(1-2A)(2B-3)], [15-115:금(09:00~10:15)(10:30~11:45)],75분,3,3,3,0,12,12,1,11,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
41,2026년 1학기,인문대학,국어국문학과,3,전공심화,전공심화,0006975003,한국어 이해의 기초(2),Basic of Korean Comprehension(2),최유정,국어국문학과,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:금(1-2A)(2B-3)], [15-120:금(09:00~10:15)(10:30~11:45)],75분,3,3,3,0,11,11,1,10,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
